Income,Living_Standards,Homeownership_Status,Location,Work_Experience,Type_of_Housing,Number_of_Dependents,Household_Size,Age,Employment_Status
72510,Medium,Own,Urban,21,Apartment,5,7,56,Full-time
75462,Medium,Own,Urban,4,Apartment,0,7,69,Full-time
71748,Medium,Own,Urban,1,Single-family home,1,7,46,Full-time
74520,Medium,Own,Urban,32,Apartment,2,1,32,Full-time
640210,High,Own,Urban,15,Townhouse,3,4,60,Self-employed
73406,Medium,Rent,Rural,6,Townhouse,1,1,25,Part-time
3584362,High,Rent,Rural,20,Single-family home,3,4,38,Full-time
70066,Medium,Own,Suburban,34,Townhouse,1,7,56,Part-time
69636,Low,Own,Suburban,45,Apartment,4,2,36,Full-time
5188124,High,Own,Urban,21,Apartment,4,6,40,Full-time
68944,Low,Rent,Urban,50,Townhouse,4,5,28,Full-time
66796,Low,Own,Urban,47,Single-family home,2,2,28,Full-time
9892000,High,Own,Rural,21,Single-family home,4,2,41,Full-time
35349,Low,Own,Suburban,5,Apartment,2,4,70,Part-time
73964,Medium,Rent,Suburban,32,Single-family home,0,3,53,Full-time
756798,High,Rent,Rural,38,Apartment,4,6,57,Self-employed
1011213,High,Rent,Urban,42,Apartment,2,7,41,Full-time
66298,Low,Own,Urban,24,Single-family home,1,3,20,Part-time
3856805,High,Own,Rural,17,Apartment,2,3,39,Self-employed
70496,Medium,Own,Urban,40,Single-family home,5,3,70,Full-time
233049,High,Rent,Urban,34,Apartment,2,6,19,Part-time
66856,Low,Own,Urban,23,Single-family home,5,5,41,Part-time
3270292,High,Own,Urban,39,Townhouse,1,2,61,Full-time
65642,Low,Own,Suburban,39,Single-family home,2,1,47,Full-time
72402,Medium,Own,Urban,22,Apartment,1,5,55,Part-time
74310,Medium,Own,Urban,32,Single-family home,5,7,19,Full-time
69002,Low,Rent,Urban,28,Townhouse,3,6,38,Full-time
1538406,High,Rent,Urban,9,Apartment,4,4,50,Part-time
5579421,High,Rent,Rural,14,Single-family home,5,5,29,Self-employed
6252651,High,Own,Urban,9,Apartment,0,5,39,Full-time
71376,Medium,Own,Urban,25,Single-family home,2,6,61,Part-time
3907114,High,Rent,Urban,39,Apartment,1,4,42,Self-employed
239639,High,Own,Rural,28,Apartment,4,1,66,Full-time
5922905,High,Own,Urban,33,Apartment,2,2,44,Part-time
875085,High,Own,Rural,17,Apartment,4,7,59,Full-time
490898,High,Own,Urban,1,Townhouse,3,5,45,Self-employed
69972,Low,Own,Urban,24,Single-family home,2,7,33,Full-time
8440036,High,Rent,Suburban,20,Single-family home,1,4,32,Full-time
50958,Low,Own,Urban,50,Single-family home,3,4,64,Part-time
74064,Medium,Own,Urban,30,Single-family home,2,1,68,Part-time
69066,Low,Own,Urban,21,Apartment,4,7,61,Full-time
73738,Medium,Own,Urban,8,Single-family home,3,5,69,Part-time
70502,Medium,Own,Urban,26,Apartment,1,4,20,Self-employed
70586,Medium,Own,Urban,24,Apartment,2,6,54,Self-employed
6366832,High,Own,Urban,24,Apartment,4,7,68,Part-time
65836,Low,Own,Urban,26,Single-family home,4,6,24,Self-employed
73828,Medium,Rent,Suburban,9,Townhouse,5,1,38,Self-employed
5350468,High,Rent,Urban,29,Townhouse,3,7,26,Part-time
74820,Medium,Own,Urban,3,Single-family home,2,7,56,Self-employed
590478,High,Rent,Urban,20,Apartment,5,1,35,Self-employed
1248886,High,Own,Urban,29,Apartment,4,4,21,Part-time
65970,Low,Own,Urban,32,Single-family home,3,4,42,Part-time
68644,Low,Own,Suburban,42,Apartment,0,5,31,Full-time
68054,Low,Rent,Suburban,25,Apartment,4,5,67,Full-time
74042,Medium,Rent,Urban,1,Single-family home,3,2,26,Part-time
71074,Medium,Rent,Urban,22,Townhouse,0,4,43,Part-time
9061674,High,Own,Urban,30,Apartment,3,7,70,Part-time
66402,Low,Own,Rural,3,Single-family home,4,3,19,Self-employed
71332,Medium,Own,Urban,46,Apartment,0,6,37,Full-time
74462,Medium,Own,Urban,19,Single-family home,3,3,45,Full-time
7166308,High,Own,Urban,24,Single-family home,2,6,64,Part-time
71986,Medium,Rent,Urban,44,Single-family home,0,2,24,Full-time
65652,Low,Own,Urban,0,Single-family home,3,4,61,Part-time
73092,Medium,Own,Suburban,1,Single-family home,2,1,25,Part-time
1142923,High,Own,Urban,5,Apartment,0,6,64,Part-time
215911,High,Own,Urban,6,Apartment,3,7,52,Full-time
73718,Medium,Own,Urban,50,Single-family home,4,3,31,Full-time
67916,Low,Own,Urban,3,Apartment,0,5,34,Full-time
158392,High,Rent,Urban,17,Single-family home,0,3,53,Part-time
5227297,High,Own,Suburban,40,Apartment,2,4,67,Full-time
4232118,High,Rent,Urban,42,Townhouse,5,6,57,Part-time
66784,Low,Own,Urban,4,Apartment,5,3,21,Full-time
72016,Medium,Own,Suburban,24,Single-family home,3,2,19,Self-employed
75104,Medium,Rent,Urban,0,Apartment,4,7,23,Self-employed
5004178,High,Rent,Urban,33,Apartment,2,7,59,Full-time
180722,High,Own,Urban,2,Townhouse,0,5,21,Part-time
5324279,High,Own,Suburban,16,Apartment,5,2,46,Full-time
71180,Medium,Own,Urban,31,Apartment,2,1,35,Part-time
74094,Medium,Own,Urban,23,Apartment,2,1,43,Full-time
49810,Low,Rent,Urban,1,Apartment,2,1,61,Part-time
68654,Low,Own,Urban,0,Apartment,0,1,51,Full-time
66480,Low,Own,Suburban,33,Single-family home,1,4,27,Self-employed
66764,Low,Own,Urban,7,Apartment,2,4,53,Full-time
71224,Medium,Rent,Suburban,44,Apartment,1,4,31,Self-employed
68174,Low,Own,Urban,45,Apartment,5,2,48,Full-time
82524,Medium,Rent,Urban,43,Apartment,4,2,65,Full-time
66704,Low,Rent,Suburban,8,Single-family home,5,7,32,Part-time
659147,High,Own,Urban,27,Townhouse,4,3,25,Self-employed
66424,Low,Own,Urban,18,Townhouse,4,5,31,Part-time
72678,Medium,Own,Urban,19,Townhouse,5,2,40,Full-time
53957,Low,Rent,Urban,6,Single-family home,3,3,57,Self-employed
41398,Low,Rent,Urban,41,Apartment,0,1,38,Part-time
71576,Medium,Own,Rural,34,Single-family home,1,1,33,Full-time
67830,Low,Rent,Suburban,18,Apartment,3,7,62,Part-time
3059562,High,Own,Rural,16,Single-family home,1,2,35,Part-time
67232,Low,Own,Rural,39,Single-family home,0,4,64,Part-time
69764,Low,Own,Urban,17,Townhouse,2,7,70,Part-time
5671675,High,Rent,Urban,6,Apartment,5,3,41,Self-employed
796904,High,Rent,Urban,26,Apartment,3,6,43,Self-employed
555011,High,Rent,Suburban,38,Single-family home,0,7,42,Part-time
69034,Low,Own,Urban,29,Apartment,5,5,62,Full-time
66248,Low,Own,Urban,22,Townhouse,3,3,58,Part-time
73590,Medium,Own,Urban,19,Apartment,4,4,46,Self-employed
68070,Low,Own,Urban,22,Single-family home,3,6,32,Full-time
67766,Low,Own,Urban,25,Single-family home,2,4,62,Part-time
67192,Low,Rent,Urban,47,Apartment,2,2,18,Part-time
73634,Medium,Own,Suburban,46,Apartment,1,7,42,Part-time
71594,Medium,Own,Urban,13,Townhouse,3,7,24,Self-employed
351674,High,Own,Rural,47,Apartment,4,7,26,Full-time
171792,High,Rent,Urban,30,Apartment,2,4,41,Part-time
71314,Medium,Own,Rural,26,Apartment,1,4,18,Full-time
71448,Medium,Rent,Urban,8,Single-family home,4,5,61,Self-employed
5726383,High,Rent,Suburban,22,Apartment,4,4,25,Full-time
69570,Low,Own,Urban,9,Single-family home,4,6,41,Self-employed
70452,Medium,Own,Urban,46,Apartment,0,1,28,Full-time
74538,Medium,Rent,Suburban,22,Townhouse,2,4,68,Full-time
68190,Low,Own,Urban,9,Single-family home,0,1,34,Full-time
65872,Low,Rent,Urban,1,Apartment,0,5,25,Part-time
157265,High,Own,Urban,36,Townhouse,2,6,52,Full-time
66008,Low,Own,Urban,39,Apartment,3,2,52,Full-time
72046,Medium,Own,Urban,37,Townhouse,5,1,50,Part-time
71618,Medium,Own,Urban,37,Apartment,1,2,22,Self-employed
68604,Low,Own,Urban,0,Apartment,5,6,59,Self-employed
70880,Medium,Rent,Urban,47,Single-family home,5,6,56,Full-time
274241,High,Rent,Suburban,17,Single-family home,5,7,58,Part-time
70658,Medium,Own,Urban,34,Apartment,5,6,45,Part-time
4855305,High,Rent,Urban,6,Townhouse,2,6,24,Part-time
68752,Low,Own,Urban,43,Single-family home,5,2,26,Full-time
71456,Medium,Own,Urban,41,Apartment,1,1,25,Part-time
73072,Medium,Own,Urban,21,Single-family home,3,3,29,Part-time
65850,Low,Own,Urban,24,Townhouse,2,4,51,Full-time
5908245,High,Own,Rural,41,Apartment,5,7,50,Full-time
128166,Medium,Rent,Suburban,22,Townhouse,4,5,65,Full-time
72296,Medium,Own,Urban,8,Apartment,2,6,40,Self-employed
75062,Medium,Own,Urban,26,Apartment,3,2,41,Self-employed
67804,Low,Own,Urban,10,Apartment,5,3,54,Full-time
7897514,High,Own,Rural,50,Apartment,0,2,52,Part-time
196973,High,Own,Rural,26,Apartment,2,3,61,Full-time
1034725,High,Own,Urban,39,Apartment,4,5,57,Part-time
70090,Medium,Own,Urban,27,Single-family home,2,7,39,Full-time
302646,High,Own,Urban,17,Apartment,0,3,44,Full-time
37821,Low,Own,Urban,35,Single-family home,2,7,52,Self-employed
141058,Medium,Rent,Urban,33,Townhouse,4,7,18,Part-time
289709,High,Rent,Urban,12,Apartment,3,7,52,Full-time
414718,High,Rent,Urban,45,Single-family home,4,5,54,Full-time
1309591,High,Rent,Urban,29,Apartment,3,4,64,Self-employed
69850,Low,Own,Urban,27,Single-family home,4,6,31,Full-time
71056,Medium,Own,Suburban,21,Single-family home,1,6,20,Part-time
72410,Medium,Rent,Urban,23,Townhouse,2,7,18,Full-time
66540,Low,Rent,Urban,46,Townhouse,2,6,22,Full-time
71384,Medium,Own,Suburban,29,Apartment,0,3,43,Part-time
3336052,High,Own,Urban,44,Single-family home,1,6,31,Self-employed
279868,High,Rent,Urban,37,Apartment,0,2,56,Full-time
66088,Low,Own,Urban,19,Single-family home,2,4,44,Full-time
70662,Medium,Own,Urban,5,Townhouse,0,2,26,Self-employed
67500,Low,Rent,Urban,32,Apartment,3,2,32,Part-time
66212,Low,Own,Suburban,46,Single-family home,1,4,32,Part-time
3345291,High,Rent,Urban,37,Apartment,4,4,43,Full-time
66304,Low,Own,Urban,14,Townhouse,3,5,59,Full-time
33597,Low,Own,Suburban,14,Apartment,5,7,30,Full-time
3063006,High,Own,Urban,31,Apartment,4,3,68,Part-time
73012,Medium,Rent,Urban,13,Apartment,0,5,49,Full-time
74986,Medium,Own,Urban,41,Single-family home,2,1,56,Part-time
65862,Low,Rent,Urban,7,Single-family home,3,1,66,Part-time
4090954,High,Rent,Urban,35,Apartment,1,5,69,Self-employed
85064,Medium,Rent,Suburban,21,Single-family home,4,5,49,Self-employed
537921,High,Own,Urban,37,Single-family home,5,3,21,Self-employed
164295,High,Own,Urban,19,Apartment,3,4,47,Part-time
2893692,High,Rent,Rural,23,Single-family home,2,1,54,Full-time
66666,Low,Own,Urban,20,Townhouse,1,7,40,Full-time
70646,Medium,Own,Urban,27,Apartment,1,7,56,Part-time
68156,Low,Rent,Suburban,48,Apartment,4,4,62,Part-time
572590,High,Own,Suburban,22,Apartment,3,2,32,Full-time
226610,High,Rent,Urban,23,Apartment,3,2,60,Self-employed
70288,Medium,Own,Suburban,38,Single-family home,1,4,46,Full-time
73094,Medium,Own,Urban,43,Apartment,0,2,53,Part-time
43133,Low,Rent,Suburban,22,Apartment,1,1,30,Part-time
546930,High,Rent,Rural,3,Apartment,2,1,49,Part-time
68044,Low,Own,Urban,45,Single-family home,3,2,24,Part-time
66446,Low,Rent,Urban,3,Single-family home,4,1,68,Full-time
287640,High,Own,Urban,29,Single-family home,3,2,39,Self-employed
73182,Medium,Rent,Suburban,47,Single-family home,1,3,45,Self-employed
75118,Medium,Own,Suburban,27,Single-family home,2,3,19,Part-time
71990,Medium,Rent,Urban,30,Single-family home,0,4,59,Full-time
71790,Medium,Own,Suburban,32,Single-family home,3,7,62,Full-time
68046,Low,Rent,Suburban,49,Townhouse,1,7,70,Full-time
31127,Low,Own,Suburban,18,Apartment,5,2,23,Part-time
70500,Medium,Own,Suburban,9,Apartment,1,3,45,Full-time
87542,Medium,Rent,Urban,24,Single-family home,1,3,45,Full-time
71280,Medium,Own,Urban,36,Townhouse,2,1,61,Part-time
70670,Medium,Own,Suburban,12,Townhouse,1,4,61,Self-employed
74132,Medium,Own,Rural,5,Apartment,1,4,37,Full-time
65958,Low,Own,Urban,29,Apartment,1,3,47,Part-time
217972,High,Rent,Urban,22,Single-family home,3,3,28,Part-time
48122,Low,Own,Suburban,35,Townhouse,1,4,45,Self-employed
73496,Medium,Own,Suburban,15,Apartment,2,6,42,Part-time
4701227,High,Rent,Urban,7,Single-family home,5,1,56,Part-time
65756,Low,Own,Urban,15,Single-family home,3,5,50,Part-time
7066470,High,Own,Suburban,10,Apartment,5,1,18,Self-employed
66922,Low,Own,Suburban,0,Townhouse,1,5,44,Self-employed
2567436,High,Own,Suburban,21,Apartment,0,4,69,Full-time
71024,Medium,Own,Suburban,17,Townhouse,5,4,30,Part-time
67218,Low,Own,Urban,35,Apartment,2,4,58,Part-time
165136,High,Rent,Rural,10,Townhouse,0,2,20,Part-time
72898,Medium,Own,Suburban,19,Single-family home,2,2,56,Full-time
65944,Low,Rent,Urban,9,Apartment,0,2,23,Full-time
