Age,Education_Level,Occupation,Number_of_Dependents,Location,Work_Experience,Marital_Status,Employment_Status,Household_Size,Homeownership_Status,Type_of_Housing,Gender,Primary_Mode_of_Transportation,Income,Age_Group,Income_Category,Cluster
56,Master's,Technology,5,Urban,21,Married,Full-time,7,Own,Apartment,Male,Public transit,72510,46-60,Medium,2
69,High School,Finance,0,Urban,4,Single,Full-time,7,Own,Apartment,Male,Biking,75462,61-70,Medium,2
46,Bachelor's,Technology,1,Urban,1,Single,Full-time,7,Own,Single-family home,Female,Car,71748,46-60,Medium,2
32,High School,Others,2,Urban,32,Married,Full-time,1,Own,Apartment,Female,Car,74520,31-45,Medium,1
60,Bachelor's,Finance,3,Urban,15,Married,Self-employed,4,Own,Townhouse,Male,Walking,640210,46-60,High,2
25,High School,Others,1,Rural,6,Single,Part-time,1,Rent,Townhouse,Female,Car,73406,18-30,Medium,2
38,Master's,Technology,3,Rural,20,Married,Full-time,4,Rent,Single-family home,Male,Public transit,3584362,31-45,High,0
56,Master's,Education,1,Suburban,34,Married,Part-time,7,Own,Townhouse,Female,Public transit,70066,46-60,Medium,1
36,Master's,Finance,4,Suburban,45,Married,Full-time,2,Own,Apartment,Female,Public transit,69636,31-45,Low,1
40,Bachelor's,Education,4,Urban,21,Married,Full-time,6,Own,Apartment,Female,Biking,5188124,31-45,High,0
28,Bachelor's,Healthcare,4,Urban,50,Married,Full-time,5,Rent,Townhouse,Female,Car,68944,18-30,Low,1
28,Master's,Healthcare,2,Urban,47,Married,Full-time,2,Own,Single-family home,Female,Car,66796,18-30,Low,1
41,Bachelor's,Technology,4,Rural,21,Married,Full-time,2,Own,Single-family home,Female,Car,9892000,31-45,High,0
70,High School,Technology,2,Suburban,5,Married,Part-time,4,Own,Apartment,Male,Public transit,35349,61-70,Low,2
53,Master's,Technology,0,Suburban,32,Married,Full-time,3,Rent,Single-family home,Female,Public transit,73964,46-60,Medium,1
57,Bachelor's,Healthcare,4,Rural,38,Married,Self-employed,6,Rent,Apartment,Male,Car,756798,46-60,High,1
41,High School,Technology,2,Urban,42,Married,Full-time,7,Rent,Apartment,Male,Car,1011213,31-45,High,1
20,High School,Healthcare,1,Urban,24,Married,Part-time,3,Own,Single-family home,Female,Car,66298,18-30,Low,2
39,High School,Technology,2,Rural,17,Single,Self-employed,3,Own,Apartment,Female,Public transit,3856805,31-45,High,0
70,Bachelor's,Education,5,Urban,40,Married,Full-time,3,Own,Single-family home,Female,Public transit,70496,61-70,Medium,1
19,High School,Finance,2,Urban,34,Married,Part-time,6,Rent,Apartment,Male,Biking,233049,18-30,High,1
41,High School,Finance,5,Urban,23,Married,Part-time,5,Own,Single-family home,Female,Car,66856,31-45,Low,2
61,High School,Finance,1,Urban,39,Married,Full-time,2,Own,Townhouse,Male,Biking,3270292,61-70,High,1
47,Bachelor's,Finance,2,Suburban,39,Single,Full-time,1,Own,Single-family home,Female,Car,65642,46-60,Low,1
55,Master's,Technology,1,Urban,22,Married,Part-time,5,Own,Apartment,Female,Biking,72402,46-60,Medium,2
19,Bachelor's,Healthcare,5,Urban,32,Single,Full-time,7,Own,Single-family home,Female,Public transit,74310,18-30,Medium,1
38,High School,Technology,3,Urban,28,Single,Full-time,6,Rent,Townhouse,Female,Public transit,69002,31-45,Low,1
50,High School,Technology,4,Urban,9,Single,Part-time,4,Rent,Apartment,Female,Public transit,1538406,46-60,High,2
29,Master's,Technology,5,Rural,14,Single,Self-employed,5,Rent,Single-family home,Male,Biking,5579421,18-30,High,0
39,Bachelor's,Education,0,Urban,9,Single,Full-time,5,Own,Apartment,Male,Car,6252651,31-45,High,0
61,Bachelor's,Others,2,Urban,25,Married,Part-time,6,Own,Single-family home,Male,Public transit,71376,61-70,Medium,2
42,High School,Healthcare,1,Urban,39,Married,Self-employed,4,Rent,Apartment,Male,Walking,3907114,31-45,High,0
66,Master's,Education,4,Rural,28,Single,Full-time,1,Own,Apartment,Male,Biking,239639,61-70,High,1
44,Bachelor's,Others,2,Urban,33,Married,Part-time,2,Own,Apartment,Female,Car,5922905,31-45,High,0
59,High School,Finance,4,Rural,17,Married,Full-time,7,Own,Apartment,Male,Biking,875085,46-60,High,2
45,High School,Healthcare,3,Urban,1,Single,Self-employed,5,Own,Townhouse,Male,Public transit,490898,31-45,High,2
33,Bachelor's,Others,2,Urban,24,Single,Full-time,7,Own,Single-family home,Female,Biking,69972,31-45,Low,1
32,Master's,Healthcare,1,Suburban,20,Single,Full-time,4,Rent,Single-family home,Female,Car,8440036,31-45,High,0
64,Master's,Finance,3,Urban,50,Married,Part-time,4,Own,Single-family home,Male,Biking,50958,61-70,Low,1
68,Bachelor's,Technology,2,Urban,30,Married,Part-time,1,Own,Single-family home,Female,Walking,74064,61-70,Medium,1
61,Master's,Technology,4,Urban,21,Married,Full-time,7,Own,Apartment,Male,Public transit,69066,61-70,Low,2
69,High School,Finance,3,Urban,8,Married,Part-time,5,Own,Single-family home,Female,Public transit,73738,61-70,Medium,2
20,Bachelor's,Healthcare,1,Urban,26,Married,Self-employed,4,Own,Apartment,Male,Car,70502,18-30,Medium,1
54,Bachelor's,Healthcare,2,Urban,24,Single,Self-employed,6,Own,Apartment,Female,Public transit,70586,46-60,Medium,2
68,High School,Technology,4,Urban,24,Married,Part-time,7,Own,Apartment,Female,Car,6366832,61-70,High,0
24,Master's,Healthcare,4,Urban,26,Single,Self-employed,6,Own,Single-family home,Male,Public transit,65836,18-30,Low,1
38,High School,Others,5,Suburban,9,Married,Self-employed,1,Rent,Townhouse,Male,Public transit,73828,31-45,Medium,2
