Income,Living_Standards,Homeownership_Status,Location,Work_Experience,Type_of_Housing,Number_of_Dependents,Household_Size,Age,Employment_Status
72684,Medium,Own,Urban,10,Apartment,3,7,67,Self-employed
51169,Low,Own,Rural,3,Single-family home,3,1,70,Part-time
319159,High,Rent,Urban,12,Single-family home,1,5,19,Full-time
75002,Medium,Rent,Urban,22,Apartment,0,5,53,Part-time
86658,Medium,Rent,Urban,7,Single-family home,4,5,24,Full-time
1290511,High,Rent,Urban,37,Single-family home,0,7,55,Part-time
70666,Medium,Own,Rural,29,Townhouse,2,5,54,Self-employed
64948,Low,Own,Urban,2,Townhouse,4,1,25,Full-time
78697,Medium,Own,Rural,10,Single-family home,5,4,57,Part-time
69756,Low,Own,Suburban,20,Apartment,4,5,35,Self-employed
65342,Low,Own,Urban,48,Apartment,3,6,34,Full-time
5284915,High,Own,Suburban,18,Single-family home,3,1,37,Full-time
71280,Medium,Own,Urban,36,Townhouse,2,1,61,Part-time
71504,Medium,Rent,Suburban,34,Apartment,5,3,25,Part-time
70682,Medium,Own,Urban,38,Apartment,2,7,65,Self-employed
70672,Medium,Own,Rural,43,Apartment,0,1,50,Full-time
74370,Medium,Rent,Urban,0,Apartment,2,3,46,Part-time
67980,Low,Own,Urban,39,Single-family home,3,3,68,Full-time
65886,Low,Rent,Urban,10,Apartment,1,6,21,Self-employed
225217,High,Own,Urban,50,Single-family home,1,4,36,Full-time
97110,Medium,Rent,Urban,34,Apartment,2,7,42,Full-time
68220,Low,Rent,Urban,17,Single-family home,4,3,38,Self-employed
74938,Medium,Rent,Urban,2,Apartment,5,1,35,Self-employed
266888,High,Own,Rural,36,Single-family home,4,5,40,Part-time
6550812,High,Rent,Suburban,6,Single-family home,4,6,31,Part-time
68238,Low,Own,Urban,21,Apartment,1,5,66,Full-time
67834,Low,Own,Urban,0,Single-family home,1,5,37,Full-time
69986,Low,Own,Urban,40,Single-family home,4,3,45,Part-time
2986742,High,Own,Urban,28,Apartment,5,4,31,Part-time
8809071,High,Own,Suburban,5,Apartment,1,6,58,Self-employed
68884,Low,Rent,Rural,24,Townhouse,5,5,58,Full-time
65594,Low,Own,Urban,4,Apartment,0,4,64,Full-time
74816,Medium,Rent,Urban,27,Apartment,5,4,69,Part-time
769391,High,Own,Urban,25,Apartment,4,7,68,Part-time
73700,Medium,Own,Urban,33,Apartment,3,5,52,Full-time
75212,Medium,Rent,Urban,8,Single-family home,1,6,57,Part-time
769594,High,Own,Rural,4,Apartment,0,2,42,Full-time
71842,Medium,Rent,Urban,13,Townhouse,1,1,25,Full-time
67310,Low,Own,Urban,0,Apartment,0,2,20,Part-time
65062,Low,Rent,Urban,1,Apartment,5,3,48,Full-time
434719,High,Own,Urban,29,Townhouse,3,1,50,Self-employed
2813665,High,Rent,Urban,40,Apartment,0,3,35,Full-time
704550,High,Own,Suburban,3,Townhouse,2,5,31,Full-time
69468,Low,Own,Suburban,22,Apartment,2,2,51,Self-employed
73914,Medium,Own,Urban,41,Single-family home,2,1,22,Self-employed
